"year_"	"ID"	"UL"	"UR"	"LL"	"LR"	"gps_tagID"	"sex"	"lat"	"lon"	"caught_time"	"dead"
2017	"270170201"	NA	NA	"Y,M"	"G,DB,DB"	NA	"F"	71.2977981567383	-156.699005126953	2017-05-26 16:44:00	0
2017	"270170202"	NA	NA	"Y,M"	"G,DB,G"	NA	"M"	71.2987976074219	-156.697998046875	2017-05-26 17:33:00	0
2017	"270170203"	NA	NA	"Y,M"	"G,G,W"	NA	"F"	71.3077011108398	-156.703994750977	2017-05-27 15:15:00	0
2017	"270170204"	NA	NA	"Y,M"	"G,G,Y"	NA	"F"	71.3081970214844	-156.705001831055	2017-05-27 16:58:00	0
2017	"270170205"	NA	NA	"Y,M"	"G,R,Y"	NA	"F"	71.2912979125977	-156.669006347656	2017-05-28 21:34:00	0
2017	"270170206"	NA	NA	"Y,M"	"G,Y,R"	NA	"F"	71.2908020019531	-156.669998168945	2017-05-28 22:26:00	0
2017	"270170206"	NA	NA	"Y,M"	"G,Y,R"	NA	"F"	71.2904968261719	-156.673004150391	2017-05-29 11:13:00	0
2017	"270170206"	NA	NA	"Y,M"	"G,Y,R"	NA	"F"	71.2948989868164	-156.675994873047	2017-06-01 10:38:00	0
2017	"270170207"	NA	NA	"Y,M"	"G,DB,P"	NA	"F"	71.2901992797852	-156.667007446289	2017-05-29 10:13:00	0
2017	"270170208"	NA	NA	"Y,M"	"G,DB,R"	NA	"F"	71.2904968261719	-156.673004150391	2017-05-29 11:00:00	0
2017	"270170209"	NA	NA	"Y,M"	"G,DB,W"	NA	"F"	71.2908020019531	-156.669998168945	2017-05-29 12:44:00	0
2017	"270170210"	"M"	"Y"	NA	"COBA"	NA	"M"	71.2515029907227	-156.772994995117	2017-06-08 11:24:00	0
2017	"270170210"	"M"	"Y"	"R,Y"	"W"	NA	"M"	71.2525024414062	-156.77799987793	2017-06-10 16:33:00	0
2017	"270170211"	"M"	"Y"	NA	"COBA"	NA	"M"	71.2976989746094	-156.703994750977	2017-06-08 15:48:00	0
2017	"270170212"	"M"	"Y"	NA	"COBA"	NA	"M"	71.2520980834961	-156.772994995117	2017-06-08 17:09:00	0
2017	"270170213"	"M"	"Y"	NA	"COBA"	NA	"M"	71.252197265625	-156.772003173828	2017-06-08 17:29:00	0
2017	"270170214"	"M"	"Y"	NA	"COBA"	NA	"M"	71.2511978149414	-156.774002075195	2017-06-08 18:20:00	0
2017	"270170215"	"M"	"Y"	NA	"COBA"	NA	"M"	71.2514038085938	-156.774002075195	2017-06-08 18:48:00	0
2017	"270170216"	"M"	"Y"	NA	"COBA"	NA	"M"	71.2514038085938	-156.774002075195	2017-06-08 19:01:00	0
2017	"270170217"	"M"	"Y"	NA	"COBA"	NA	"F"	71.2512969970703	-156.774002075195	2017-06-09 10:35:00	0
2017	"270170218"	"M"	"Y"	NA	"COBA"	NA	"F"	71.2512969970703	-156.774002075195	2017-06-09 10:45:00	0
